configuration,category,queries,recall_at_1,recall_at_5,mrr,ndcg_at_5,primary_at_1,top_score_mean
C1,department,2,1.0,1.0,1.0,1.0,1.0,
C1,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C1,keyword,2,0.75,1.0,1.0,0.9751,1.0,
C1,morphology,3,1.0,1.0,1.0,1.0,1.0,
C1,numeric,2,0.25,1.0,0.75,0.8155,0.5,
C1,partial_match,2,0.375,0.75,1.0,0.7992,0.5,
C1,semantic,4,0.625,0.75,0.7857,0.75,0.75,
C1,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C1,spacing,3,1.0,1.0,1.0,1.0,1.0,
C1,typo,2,1.0,1.0,1.0,1.0,1.0,
C1,year,3,1.0,1.0,1.0,1.0,1.0,
C1,no_answer,2,,,,,,0.830408
C2,department,2,1.0,1.0,1.0,1.0,1.0,
C2,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C2,keyword,2,0.75,1.0,1.0,0.9751,1.0,
C2,morphology,3,1.0,1.0,1.0,1.0,1.0,
C2,numeric,2,0.75,1.0,1.0,1.0,1.0,
C2,partial_match,2,0.375,0.875,1.0,0.9395,1.0,
C2,semantic,4,0.625,1.0,0.8125,0.8577,0.75,
C2,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C2,spacing,3,1.0,1.0,1.0,1.0,1.0,
C2,typo,2,1.0,1.0,1.0,1.0,1.0,
C2,year,3,1.0,1.0,1.0,1.0,1.0,
C2,no_answer,2,,,,,,0.8141069999999999
C3,department,2,1.0,1.0,1.0,1.0,1.0,
C3,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C3,keyword,2,0.75,1.0,1.0,0.9751,1.0,
C3,morphology,3,1.0,1.0,1.0,1.0,1.0,
C3,numeric,2,0.75,1.0,1.0,1.0,1.0,
C3,partial_match,2,0.375,0.875,1.0,0.8694,0.5,
C3,semantic,4,0.625,0.75,0.7857,0.75,0.75,
C3,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C3,spacing,3,1.0,1.0,1.0,1.0,1.0,
C3,typo,2,1.0,1.0,1.0,1.0,1.0,
C3,year,3,1.0,1.0,1.0,1.0,1.0,
C3,no_answer,2,,,,,,0.815178
C4,department,2,1.0,1.0,1.0,1.0,1.0,
C4,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C4,keyword,2,0.75,1.0,1.0,0.9751,1.0,
C4,morphology,3,1.0,1.0,1.0,1.0,1.0,
C4,numeric,2,0.75,1.0,1.0,0.9751,1.0,
C4,partial_match,2,0.375,0.875,1.0,0.8694,0.5,
C4,semantic,4,0.875,1.0,1.0,1.0,1.0,
C4,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C4,spacing,3,1.0,1.0,1.0,1.0,1.0,
C4,typo,2,1.0,1.0,1.0,1.0,1.0,
C4,year,3,1.0,1.0,1.0,1.0,1.0,
C4,no_answer,2,,,,,,0.8202645
C5,department,2,1.0,1.0,1.0,1.0,1.0,
C5,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C5,keyword,2,0.75,1.0,1.0,0.9751,1.0,
C5,morphology,3,1.0,1.0,1.0,1.0,1.0,
C5,numeric,2,0.75,1.0,1.0,0.9751,1.0,
C5,partial_match,2,0.375,0.875,1.0,0.8694,0.5,
C5,semantic,4,0.625,1.0,0.875,0.9077,0.75,
C5,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C5,spacing,3,1.0,1.0,1.0,1.0,1.0,
C5,typo,2,1.0,1.0,1.0,1.0,1.0,
C5,year,3,1.0,1.0,1.0,1.0,1.0,
C5,no_answer,2,,,,,,0.793308
C6,department,2,1.0,1.0,1.0,1.0,1.0,
C6,exact_title,3,1.0,1.0,1.0,1.0,1.0,
C6,keyword,2,0.75,1.0,1.0,0.9751,1.0,
C6,morphology,3,1.0,1.0,1.0,1.0,1.0,
C6,numeric,2,0.75,1.0,1.0,0.9751,1.0,
C6,partial_match,2,0.375,0.875,1.0,0.8597,0.5,
C6,semantic,4,0.625,1.0,0.875,0.9077,0.75,
C6,similar_document,2,1.0,1.0,1.0,1.0,1.0,
C6,spacing,3,1.0,1.0,1.0,1.0,1.0,
C6,typo,2,1.0,1.0,1.0,1.0,1.0,
C6,year,3,1.0,1.0,1.0,1.0,1.0,
C6,no_answer,2,,,,,,0.8033935000000001
C7,department,2,1.0,1.0,1.0,1.0,1.0,
C7,exact_title,3,1.0,1.0,1.0,1.0,1.0,
