method,answerable_queries,recall_at_1,recall_at_5,mrr,ndcg_at_5,primary_at_1,primary_at_5,latency_ms_mean,latency_ms_p50,latency_ms_p95,no_answer_top_score_mean,answerable_top_score_mean
C1,28,0.8304,0.9464,0.9515,0.935,0.8929,0.9643,1.0613,1.008,1.435,0.8304,0.8921
C2,28,0.8661,0.9911,0.9732,0.9736,0.9643,1.0,0.7112,0.675,0.978,0.8141,0.893
C3,28,0.8661,0.9554,0.9694,0.9532,0.9286,0.9643,0.7422,0.691,1.144,0.8152,0.8942
C4,28,0.9018,0.9911,1.0,0.9871,0.9643,1.0,1.2999,1.234,1.647,0.8203,0.8791
C5,28,0.8661,0.9911,0.9821,0.9739,0.9286,1.0,1.9927,2.121,2.289,0.7933,0.8797
C6,28,0.8661,0.9911,0.9821,0.9732,0.9286,1.0,1.6572,1.545,2.311,0.8034,0.8808
C7,28,0.8661,0.9911,0.9762,0.9701,0.9286,1.0,1.5705,1.504,2.01,0.8179,0.8916
C8,28,0.8661,0.9911,0.9762,0.9701,0.9286,1.0,1.5624,1.569,1.823,0.8179,0.8916
C9,28,0.8304,0.9911,0.9554,0.9537,0.8929,1.0,0.8765,0.813,1.203,0.8152,0.8942
best_vector_trgm_rrf,28,0.9018,0.9911,1.0,0.9852,0.9643,1.0,5.1308,4.927,6.515,0.0164,0.0304
