method,answerable_queries,recall_at_1,recall_at_5,mrr,ndcg_at_5,primary_at_1,primary_at_5,latency_ms_mean,latency_ms_p50,latency_ms_p95,no_answer_top_score_mean,answerable_top_score_mean
C1,2,0.5,1.0,0.75,0.8155,0.5,1.0,1.0485,1.05,1.05,,0.8872
C2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.6925,0.696,0.696,,0.8998
C3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.664,0.664,,0.915
C4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.1895,1.201,1.201,,0.8535
C5,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0185,2.123,2.123,,0.8682
C6,2,1.0,1.0,1.0,1.0,1.0,1.0,1.469,1.488,1.488,,0.88
C7,2,0.5,1.0,0.6667,0.75,0.5,1.0,1.5955,1.713,1.713,,0.8853
C8,2,0.5,1.0,0.6667,0.75,0.5,1.0,1.8945,2.085,2.085,,0.8853
C9,2,1.0,1.0,1.0,1.0,1.0,1.0,0.795,0.834,0.834,,0.915
best_vector_trgm_rrf,2,1.0,1.0,1.0,1.0,1.0,1.0,4.5765,4.708,4.708,,0.0328
