category,metric,fts_simple,fts_simple_or,trigram,vector,rrf_fts_vector,rrf_fts_trgm_vector,rrf_fts_trgm
department,queries,2,2,2,2,2,2,2
department,recall_at_1,0.5,0.5,1.0,1.0,1.0,1.0,1.0
department,recall_at_5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
department,mrr,0.5,0.6667,1.0,1.0,1.0,1.0,1.0
department,ndcg_at_5,0.5,0.75,1.0,1.0,1.0,1.0,1.0
department,primary_at_1,0.5,0.5,1.0,1.0,1.0,1.0,1.0
exact_title,queries,3,3,3,3,3,3,3
exact_title,recall_at_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exact_title,recall_at_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exact_title,mrr,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exact_title,ndcg_at_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
exact_title,primary_at_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
keyword,queries,2,2,2,2,2,2,2
keyword,recall_at_1,0.5,0.5,0.75,0.75,0.5,0.5,0.5
keyword,recall_at_5,0.5,1.0,1.0,0.75,0.75,0.75,1.0
keyword,mrr,0.5,0.75,1.0,1.0,0.75,0.75,0.75
keyword,ndcg_at_5,0.5,0.8133,0.9536,0.8801,0.7398,0.7398,0.8133
keyword,primary_at_1,0.5,0.5,1.0,1.0,0.5,0.5,0.5
morphology,queries,3,3,3,3,3,3,3
morphology,recall_at_1,0.0,0.0,0.6667,1.0,1.0,1.0,0.6667
morphology,recall_at_5,0.0,0.3333,0.6667,1.0,1.0,1.0,0.6667
morphology,mrr,0.0,0.1667,0.6667,1.0,1.0,1.0,0.6667
morphology,ndcg_at_5,0.0,0.2103,0.6667,1.0,1.0,1.0,0.6667
morphology,primary_at_1,0.0,0.0,0.6667,1.0,1.0,1.0,0.6667
numeric,queries,2,2,2,2,2,2,2
numeric,recall_at_1,0.5,0.75,0.75,0.75,0.75,0.75,0.75
numeric,recall_at_5,0.5,1.0,1.0,0.75,0.75,0.75,1.0
numeric,mrr,0.5,1.0,1.0,1.0,1.0,1.0,1.0
numeric,ndcg_at_5,0.5,0.9751,0.9536,0.8801,0.8801,0.8801,0.9536
numeric,primary_at_1,0.5,1.0,1.0,1.0,1.0,1.0,1.0
partial_match,queries,2,2,2,2,2,2,2
partial_match,recall_at_1,0.375,0.375,0.375,0.375,0.375,0.375,0.375
partial_match,recall_at_5,0.75,0.75,1.0,1.0,1.0,1.0,1.0
partial_match,mrr,1.0,1.0,1.0,1.0,1.0,1.0,1.0
partial_match,ndcg_at_5,0.7992,0.7992,0.9299,1.0,0.9299,0.9299,0.9299
partial_match,primary_at_1,0.5,0.5,0.5,1.0,0.5,0.5,0.5
semantic,queries,4,4,4,4,4,4,4
semantic,recall_at_1,0.0,0.375,0.125,0.875,0.875,0.875,0.125
semantic,recall_at_5,0.0,0.5,0.25,1.0,1.0,1.0,0.25
semantic,mrr,0.0,0.5,0.25,1.0,1.0,1.0,0.25
semantic,ndcg_at_5,0.0,0.5,0.25,1.0,1.0,1.0,0.25
semantic,primary_at_1,0.0,0.5,0.25,1.0,1.0,1.0,0.25
similar_document,queries,2,2,2,2,2,2,2
similar_document,recall_at_1,0.5,1.0,1.0,0.5,0.5,0.5,1.0
similar_document,recall_at_5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
similar_document,mrr,0.5,1.0,1.0,0.75,0.75,0.75,1.0
similar_document,ndcg_at_5,0.5,1.0,1.0,0.8155,0.8155,0.8155,1.0
similar_document,primary_at_1,0.5,1.0,1.0,0.5,0.5,0.5,1.0
spacing,queries,3,3,3,3,3,3,3
spacing,recall_at_1,0.0,0.6667,1.0,1.0,1.0,1.0,1.0
spacing,recall_at_5,0.0,0.6667,1.0,1.0,1.0,1.0,1.0
spacing,mrr,0.0,0.6667,1.0,1.0,1.0,1.0,1.0
spacing,ndcg_at_5,0.0,0.6667,1.0,1.0,1.0,1.0,1.0
spacing,primary_at_1,0.0,0.6667,1.0,1.0,1.0,1.0,1.0
typo,queries,2,2,2,2,2,2,2
typo,recall_at_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
typo,recall_at_5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
typo,mrr,0.0,1.0,1.0,1.0,1.0,1.0,1.0
typo,ndcg_at_5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
typo,primary_at_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
year,queries,3,3,3,3,3,3,3
year,recall_at_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
year,recall_at_5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
year,mrr,0.0,1.0,1.0,1.0,1.0,1.0,1.0
year,ndcg_at_5,0.0,1.0,1.0,1.0,1.0,1.0,1.0
year,primary_at_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
